Gene,logFC,padj,p_value
ARHGAP26,1.1208567,NA,4.79E-01
KCTD16,-0.6516341,NA,7.19E-01
PRELID2,-1.4213114,NA,4.09E-01
SH3RF2,-0.7899932,NA,7.09E-01
LARS1,1.5800818,NA,2.85E-01
RBM27,-1.2022637,NA,4.23E-01
PPP2R2B,-0.4221708,NA,6.71E-01
DPYSL3,1.023738,NA,4.59E-01
JAKMIP2,2.2668423,NA,2.51E-01
SH3TC2,-0.0350169,NA,9.75E-01
ABLIM3,-0.9366527,NA,5.05E-01
AFAP1L1,-1.7354725,NA,3.58E-01
PDE6A,-0.6971957,NA,6.86E-01
SLC26A2,1.6514643,NA,3.29E-01
HMGXB3,-1.8330504,NA,1.68E-01
CSF1R,-0.0759671,NA,9.63E-01
PDGFRB,0.4484593,NA,7.28E-01
SLC6A7,0.3477924,NA,7.73E-01
CAMK2A,0.2215726,NA,8.40E-01
TCOF1,-0.5791674,NA,7.11E-01
CD74,-0.2744365,NA,8.44E-01
NDST1,0.9131457,NA,4.78E-01
SYNPO,0.3093586,NA,8.40E-01
MYOZ3,-2.0859021,NA,1.58E-01
RBM22,3.1035406,NA,7.75E-02
TNIP1,0.0014308,NA,9.99E-01
ANXA6,2.2380359,NA,1.21E-01
SLC36A1,0.245512,NA,8.32E-01
FAT2,-0.3308195,NA,8.14E-01
SPARC,2.1039686,NA,8.54E-02
GALNT10,-1.2236618,NA,5.17E-01
FAXDC2,-0.1882788,NA,9.23E-01
GEMIN5,-0.8737885,NA,6.24E-01
CYFIP2,0.651361,NA,5.77E-01
NIPAL4,0.7889179,NA,6.60E-01
ADAM19,-1.9993945,NA,2.12E-01
LOC105377685,0.329894,NA,8.48E-01
PWWP2A,-0.0861139,NA,9.58E-01
CCNJL,-0.8343694,NA,6.49E-01
ATP10B,-1.2204609,NA,3.27E-01
GABRB2,0.0439107,NA,9.81E-01
GABRA1,1.2850199,NA,3.93E-01
WWC1,-0.5286839,NA,7.18E-01
PANK3,0.2512383,NA,8.86E-01
SLIT3,-0.6629757,NA,5.46E-01
DOCK2,-0.5785981,NA,6.45E-01
INSYN2B,-0.2483822,NA,8.99E-01
LCP2,0.8107514,NA,6.44E-01
LOC107986476,0.5726097,NA,7.04E-01
FBXW11,0.7774695,NA,6.24E-01
STK10,1.7190348,NA,2.55E-01
SH3PXD2B,-1.1416315,NA,3.35E-01
NEURL1B,0.7690616,NA,5.99E-01
DUSP1,-0.1490675,NA,9.32E-01
CREBRF,-0.5501963,NA,7.72E-01
BNIP1,0.2133981,NA,8.92E-01
STC2,1.1823775,NA,5.54E-01
LOC105377732,-0.5943,NA,7.46E-01
CPEB4,2.2888631,NA,1.32E-01
LOC102724551,-0.562081,NA,7.12E-01
LOC105377740,-0.8474019,NA,6.24E-01
DRD1,-0.8701661,NA,6.19E-01
HRH2,-0.0291098,NA,9.86E-01
CPLX2,1.4863104,NA,2.96E-01
LOC107986485,0.0603911,NA,9.62E-01
THOC3,1.1602722,NA,5.56E-01
LOC643201,-1.745894,NA,2.83E-01
SIMC1,-0.8605389,NA,5.96E-01
ARL10,-0.4401054,NA,7.70E-01
RNF44,0.8207322,NA,6.53E-01
SNCB,-1.4273686,NA,3.27E-01
UNC5A,0.2623472,NA,8.09E-01
HK3,0.3877872,NA,7.71E-01
ZNF346,-2.2688616,NA,1.51E-01
NSD1,-0.5500391,NA,6.68E-01
SLC34A1,0.0638775,NA,9.63E-01
F12,1.092993,NA,5.24E-01
GRK6,0.9290838,NA,5.11E-01
PRR7,1.4923684,NA,3.22E-01
DBN1,0.9514562,NA,5.86E-01
DOK3,0.0212687,NA,9.91E-01
FAM193B,2.6302396,NA,1.12E-01
LOC107986488,0.2562133,NA,9.02E-01
B4GALT7,-0.9038035,NA,6.38E-01
FAM153A,-0.1647877,NA,8.82E-01
N4BP3,-0.4072872,NA,7.89E-01
PHYKPL,-0.9964802,NA,4.73E-01
COL23A1,0.153214,NA,9.19E-01
LOC105377757,-0.29186,NA,8.83E-01
AACSP1,-2.5179543,NA,9.70E-02
ZNF454,0.3364009,NA,8.62E-01
GRM6,-0.1137319,NA,9.42E-01
ZNF354C,-0.0564051,NA,9.76E-01
ADAMTS2,0.7063315,NA,5.36E-01
RUFY1,1.0245055,NA,5.12E-01
C5orf60,0.1239543,NA,9.35E-01
MAML1,-0.1128436,NA,9.41E-01
MGAT4B,-0.1389622,NA,9.26E-01
RNF130,-1.5031305,NA,2.11E-01
CNOT6,0.6687559,NA,6.89E-01
ZFP62,1.4833757,NA,4.28E-01
BTNL9,-0.9284687,NA,5.31E-01
TRIM7,-0.2952023,NA,8.41E-01
RACK1,2.5948367,NA,4.60E-02
TRIM52,0.3209556,NA,8.34E-01
LOC100132062,-0.9795133,NA,4.62E-01
LOC105374869,-0.4568363,NA,8.04E-01
LOC102723922,-0.3639825,NA,8.31E-01
IRF4,-0.4281936,NA,8.08E-01
EXOC2,-0.655132,NA,6.15E-01
LOC107986554,-0.4756581,NA,7.93E-01
GMDS,-0.177777,NA,9.00E-01
LOC107986513,-1.202413,NA,2.99E-01
WRNIP1,-0.143842,NA,9.32E-01
SLC22A23,1.9459359,NA,1.73E-01
PRPF4B,0.5830534,NA,7.18E-01
LOC105374898,1.2601266,NA,3.35E-01
F13A1,2.7816888,NA,2.23E-02
LOC101928004,-0.659903,NA,7.30E-01
LOC101928047,-2.515115,NA,1.62E-01
RREB1,0.5667023,NA,6.95E-01
BMP6,0.4290428,NA,7.97E-01
MAK,-1.8905755,NA,2.47E-01
NEDD9,0.0903693,NA,9.51E-01
ADTRP,-0.0491177,NA,9.78E-01
HIVEP1,-0.0819615,NA,9.57E-01
PHACTR1,-1.1776651,NA,6.09E-01
GFOD1,-0.0025999,NA,9.99E-01
NOL7,1.062015,NA,5.63E-01
JARID2,-0.77822,NA,6.25E-01
DTNBP1,-2.0080255,NA,2.96E-01
ATXN1,0.8130808,NA,5.89E-01
KIF13A,-0.2564468,NA,8.70E-01
CDKAL1,-0.9938988,NA,4.84E-01
LOC102724749,0.0953676,NA,9.54E-01
GPLD1,1.2656244,NA,4.37E-01
KIAA0319,1.3301504,NA,3.99E-01
ACOT13,-0.8902675,NA,6.09E-01
RIPOR2,0.6383288,NA,6.49E-01
CARMIL1,0.0971865,NA,9.49E-01
TRIM38,-0.9697358,NA,6.01E-01
HFE,-2.9086104,NA,1.19E-01
BTN3A2,-1.0915623,NA,5.08E-01
BTN3A1,1.3565389,NA,4.12E-01
LOC102724851,-1.8982484,NA,1.34E-01
ZNF391,-2.5090792,NA,1.04E-01
ZSCAN12P1,0.4368742,NA,8.08E-01
ZSCAN9,-1.601976,NA,3.72E-01
GABBR1,0.0207379,NA,9.88E-01
HLA-F,-0.1343969,NA,9.45E-01
HLA-H,-0.1770678,NA,9.12E-01
POLR1HASP,-1.8522439,NA,2.00E-01
RNF39,-1.9426842,NA,2.08E-01
TRIM40,1.0626522,NA,4.60E-01
HLA-L,1.3057373,NA,4.48E-01
GNL1,-0.8820426,NA,4.31E-01
ABCF1,-1.1765066,NA,3.54E-01
PPP1R10,-0.500766,NA,8.05E-01
DHX16,-0.2601987,NA,8.58E-01
MDC1,0.2328937,NA,8.82E-01
TUBB,4.499864,NA,5.68E-04
DDR1,-0.6924147,NA,5.83E-01
VARS2,-0.7998562,NA,6.55E-01
MUC22,-3.1272006,NA,3.29E-02
HLA-B,2.3542694,NA,1.31E-01
HCP5,-0.7460863,NA,6.33E-01
PRRC2A,4.5431724,NA,7.43E-04
BAG6,1.4292937,NA,1.46E-01
ABHD16A,0.7783761,NA,6.35E-01
DDAH2,0.1931005,NA,9.22E-01
CLIC1,1.1397764,NA,4.57E-01
MSH5-SAPCD1,-0.9488139,NA,6.34E-01
VWA7,-0.6017871,NA,7.34E-01
VARS1,-0.0888068,NA,9.59E-01
HSPA1A,1.8768906,NA,3.33E-01
HSPA1B,6.4421271,NA,4.18E-06
SLC44A4,0.7908533,NA,6.52E-01
EHMT2,-0.1302825,NA,9.17E-01
CFB,-1.4037515,NA,3.34E-01
SKIC2,-1.5041354,NA,3.51E-01
TNXA,-0.1738585,NA,8.89E-01
C4B,-0.6367354,NA,5.01E-01
PPT2-EGFL8,-2.0676954,NA,1.72E-01
EGFL8,-1.5795294,NA,3.38E-01
TSBP1,1.369067,NA,3.57E-01
TAP2,-0.5434819,NA,7.48E-01
BRD2,0.9198249,NA,5.08E-01
SYNGAP1,0.3252619,NA,8.15E-01
IP6K3,0.9226754,NA,5.46E-01
LOC105375027,-0.3628562,NA,7.99E-01
LINC01016,0.538909,NA,7.84E-01
LOC105375026,0.3913477,NA,7.96E-01
GRM4,0.221756,NA,8.69E-01
HMGA1,-1.8311075,NA,2.65E-01
NUDT3,1.4010551,NA,3.59E-01
RPS10-NUDT3,2.8462741,NA,6.60E-02
PACSIN1,1.9497323,NA,2.01E-01
ILRUN,-0.8891281,NA,5.22E-01
ANKS1A,0.3396414,NA,8.12E-01
TCP11,-0.7925521,NA,7.10E-01
SCUBE3,-2.375668,NA,3.20E-02
LOC101929285,-0.8121481,NA,6.67E-01
DEF6,-0.1356117,NA,9.45E-01
PPARD,-0.8170392,NA,5.50E-01
FKBP5,0.9197918,NA,4.45E-01
MAPK14,0.571057,NA,7.23E-01
MAPK13,-0.4617226,NA,7.77E-01
BRPF3,-0.3760534,NA,7.94E-01
BNIP5,-0.114273,NA,9.44E-01
CDKN1A,1.5566452,NA,4.20E-01
RAB44,-0.2468474,NA,8.66E-01
CPNE5,-0.3939042,NA,7.50E-01
C6orf89,-1.3200289,NA,3.83E-01
MTCH1,-0.6537385,NA,6.52E-01
FGD2,0.221569,NA,8.62E-01
CMTR1,-0.3845044,NA,7.49E-01
ZFAND3,0.3392768,NA,8.40E-01
BTBD9,-1.0049028,NA,5.58E-01
DNAH8,-0.1471148,NA,9.03E-01
GLP1R,0.2760977,NA,8.76E-01
KCNK5,-0.1081294,NA,9.48E-01
DAAM2,-0.821251,NA,4.49E-01
MOCS1,0.0769831,NA,9.65E-01
LOC105375051,-0.7438976,NA,6.84E-01
UNC5CL,0.3974865,NA,8.44E-01
TREML2,0.3002158,NA,8.53E-01
FOXP4,-1.2523013,NA,3.21E-01
MDFI,-0.30745,NA,8.48E-01
TFEB,-0.7615623,NA,6.42E-01
USP49,-1.021995,NA,4.19E-01
CCND3,0.3312141,NA,8.13E-01
TAF8,-2.2360589,NA,1.88E-01
C6orf132,-0.8153788,NA,6.36E-01
TRERF1,0.1431113,NA,8.83E-01
UBR2,-0.6392296,NA,6.06E-01
PRPH2,-0.7833001,NA,6.56E-01
BICRAL,0.5325944,NA,7.76E-01
CUL7,0.3230819,NA,8.22E-01
KLC4,-1.6369419,NA,3.67E-01
SRF,0.3951429,NA,7.91E-01
CUL9,-1.1285884,NA,4.16E-01
TTBK1,-0.0949113,NA,9.36E-01
SLC22A7,-0.2602068,NA,8.46E-01
ZNF318,0.8420268,NA,6.71E-01
ABCC10,-0.7157456,NA,6.18E-01
DLK2,-1.627386,NA,2.59E-01
XPO5,-1.9277661,NA,1.91E-01
GTPBP2,-0.6024806,NA,6.81E-01
LINC03040,-2.9105684,NA,5.70E-02
TMEM63B,0.4632181,NA,7.67E-01
SLC29A1,-0.5054286,NA,7.81E-01
HSP90AB1,2.6167741,NA,1.07E-01
NFKBIE,0.625117,NA,7.30E-01
SUPT3H,-1.9210464,NA,1.62E-01
LOC105375079,-1.3190925,NA,4.20E-01
CYP39A1,-0.6866043,NA,7.11E-01
ADGRF4,2.3645861,NA,1.71E-01
OPN5,-1.6318953,NA,3.02E-01
PTCHD4,-0.6147401,NA,6.84E-01
TFAP2B,-0.9456048,NA,5.63E-01
PKHD1,0.7303293,NA,5.43E-01
MCM3,-1.63952,NA,3.46E-01
CILK1,0.8306687,NA,6.71E-01
ELOVL5,0.2188601,NA,8.92E-01
GCLC,-0.5889757,NA,7.38E-01
LRRC1,1.1273864,NA,4.80E-01
ZNF451,-0.4509133,NA,7.49E-01
BAG2,-0.3010514,NA,8.51E-01
LOC101927268,-0.4448389,NA,8.11E-01
LOC101927293,-1.0530653,NA,4.92E-01
KHDRBS2,0.0069312,NA,9.96E-01
PHF3,-0.7486483,NA,6.17E-01
EYS,-4.0800985,NA,6.88E-03
COL19A1,-1.7840537,NA,2.48E-01
B3GAT2,-1.0861399,NA,5.55E-01
RIMS1,-0.1050079,NA,9.24E-01
SENP6,-1.5068564,NA,3.82E-01
MYO6,0.0505811,NA,9.73E-01
LOC105377862,-1.2948108,NA,3.43E-01
MEI4,-1.0412197,NA,5.56E-01
PHIP,-1.6977876,NA,1.73E-01
BCKDHB,0.7913601,NA,5.77E-01
LOC105377872,0.3140573,NA,8.63E-01
DOP1A,0.3205745,NA,8.52E-01
CYB5R4,-0.1349762,NA,9.35E-01
ZNF292,-0.6031311,NA,6.67E-01
CNR1,0.6794962,NA,7.07E-01
RNGTT,-0.0537464,NA,9.77E-01
PNRC1,1.281178,NA,4.73E-01
PM20D2,-1.0567584,NA,4.81E-01
GABRR2,-0.3991335,NA,8.28E-01
RRAGD,1.5972816,NA,3.20E-01
ANKRD6,-0.9285111,NA,4.95E-01
BACH2,0.0621441,NA,9.55E-01
MMS22L,-1.0534884,NA,5.36E-01
PNISR,-0.0267803,NA,9.87E-01
ASCC3,-0.8795954,NA,6.06E-01
PREP,-1.0842869,NA,4.67E-01
CRYBG1,-1.0718274,NA,4.77E-01
RTN4IP1,0.3103284,NA,8.62E-01
SOBP,-0.5403931,NA,7.59E-01
SCML4,-1.866837,NA,1.61E-01
SEC63,1.5253369,NA,4.14E-01
FOXO3,2.0656329,NA,7.01E-02
SESN1,-0.1676887,NA,9.35E-01
CCDC162P,-1.1761884,NA,2.82E-01
CD164,-0.0804826,NA,9.60E-01
PPIL6,1.4531938,NA,4.86E-01
AK9,-0.5932273,NA,6.48E-01
SLC16A10,-1.2567674,NA,4.33E-01
REV3L,-0.701516,NA,6.26E-01
TRAF3IP2-AS1,-1.3432131,NA,4.32E-01
TRAF3IP2,-0.0478753,NA,9.77E-01
FYN,0.2959929,NA,8.57E-01
LAMA4,-2.3735739,NA,1.06E-01
HDAC2,1.3139268,NA,4.11E-01
DSE,-1.3510592,NA,2.93E-01
KPNA5,0.5236606,NA,7.02E-01
ROS1,-0.3616773,NA,8.01E-01
DCBLD1,0.132067,NA,9.39E-01
CEP85L,-0.2022203,NA,8.96E-01
MCM9,-0.4013611,NA,7.51E-01
LOC105377979,-0.8451643,NA,5.67E-01
RNF217,-1.2648105,NA,3.72E-01
NCOA7,-0.6446487,NA,7.19E-01
LOC105377989,-1.9820939,NA,2.72E-01
SOGA3,-0.7134527,NA,6.99E-01
THEMIS,-2.2406858,NA,2.34E-01
PTPRK,-0.6234975,NA,6.63E-01
LOC102723409,-1.1015554,NA,5.12E-01
EPB41L2,-0.4198005,NA,7.17E-01
AKAP7,-1.7462048,NA,2.79E-01
CTAGE9,1.045022,NA,5.99E-01
ENPP1,-0.0706189,NA,9.63E-01
ALDH8A1,-0.9233556,NA,6.20E-01
HBS1L,-0.9050082,NA,5.23E-01
AHI1,-1.7331019,NA,1.51E-01
MAP7,-2.6983029,NA,1.10E-01
MAP3K5,-1.8320665,NA,2.74E-01
TNFAIP3,0.1989996,NA,8.93E-01
ARFGEF3,0.3807332,NA,7.48E-01
HEBP2,0.4912092,NA,7.68E-01
NHSL1,-0.1030786,NA,9.19E-01
REPS1,1.2183008,NA,4.43E-01
TXLNB,0.1983987,NA,9.12E-01
HIVEP2,0.827717,NA,5.74E-01
AIG1,-0.7582326,NA,5.89E-01
STX11,-1.4166449,NA,4.10E-01
EPM2A,0.3317977,NA,8.64E-01
SHPRH,-0.3032299,NA,8.54E-01
SASH1,1.3604761,NA,3.14E-01
UST,-0.9065718,NA,5.83E-01
ZC3H12D,-0.10644,NA,9.48E-01
LATS1,-1.3838201,NA,3.78E-01
NUP43,0.3784023,NA,8.05E-01
ULBP1,-0.4288408,NA,7.98E-01
ULBP3,-0.9802518,NA,5.21E-01
PLEKHG1,-2.5962486,NA,6.87E-02
MTHFD1L,-2.7294218,NA,4.23E-02
AKAP12,1.6926694,NA,2.09E-01
ESR1,-0.4256652,NA,7.98E-01
MTRF1L,-0.6167458,NA,7.20E-01
OPRM1,-1.2429655,NA,4.41E-01
CNKSR3,-1.2916485,NA,2.81E-01
TIAM2,1.6173006,NA,3.69E-01
ARID1B,-0.6735749,NA,5.07E-01
ZDHHC14,-0.6789683,NA,6.29E-01
LOC105378077,-0.0516939,NA,9.78E-01
SYNJ2,0.6172935,NA,5.83E-01
TULP4,-1.5780257,NA,2.89E-01
TMEM181,0.3066538,NA,8.05E-01
SYTL3,1.6109126,NA,3.77E-01
TAGAP-AS1,-1.4182639,NA,3.81E-01
FNDC1,-0.1206801,NA,9.36E-01
PNLDC1,0.1335714,NA,9.47E-01
MAS1,-0.6759099,NA,6.05E-01
SLC22A1,-0.2954824,NA,8.56E-01
SLC22A3,-0.7176999,NA,6.07E-01
LPA,-0.5257521,NA,6.66E-01
MAP3K4,-1.305981,NA,4.06E-01
AGPAT4,-1.5127241,NA,3.61E-01
PACRG,-0.2725374,NA,8.43E-01
DKFZp451B082,-1.1042375,NA,5.19E-01
QKI,1.566596,NA,2.16E-01
RPS6KA2,2.5665544,NA,1.02E-01
RNASET2,-1.323089,NA,2.13E-01
LOC105378122,1.888026,NA,2.61E-01
TCP10L2,-1.3192067,NA,3.40E-01
TCP10L3,-0.5476776,NA,6.47E-01
AFDN,-0.8964384,NA,4.75E-01
FRMD1,-0.0893722,NA,9.31E-01
LOC105378141,0.0275017,NA,9.86E-01
SMOC2,1.4379822,NA,2.85E-01
LOC105378143,-0.091612,NA,9.59E-01
THBS2,-0.7048455,NA,6.30E-01
LINC02519,0.5766094,NA,7.51E-01
LOC105378149,3.9011908,NA,2.57E-02
LOC107986674,-1.0021209,NA,5.77E-01
LOC105378150,-0.7788768,NA,6.05E-01
LOC105378153,-1.8705579,NA,2.42E-01
FAM120B,-0.855496,NA,5.95E-01
LOC101929692,1.9664554,NA,2.45E-01
LOC105375114,-2.8836914,NA,7.98E-02
LOC105375116,0.5688829,NA,7.37E-01
FAM20C,-0.1608443,NA,8.98E-01
PRKAR1B,0.3978568,NA,7.98E-01
DNAAF5,-1.1687553,NA,4.10E-01
SUN1,-0.3128333,NA,8.18E-01
ADAP1,0.389235,NA,7.54E-01
COX19,-0.7290697,NA,6.43E-01
CYP2W1,0.5452816,NA,7.59E-01
LOC107986755,-0.5839653,NA,7.14E-01
LOC102723758,0.199105,NA,8.91E-01
MICALL2,-1.5838692,NA,2.67E-01
TMEM184A,0.1808962,NA,8.71E-01
PSMG3-AS1,-0.8934435,NA,5.04E-01
LOC107986757,0.3298432,NA,8.64E-01
ELFN1,1.5264878,NA,3.46E-01
LNCRI,-0.0277672,NA,9.84E-01
LOC105375124,0.0497859,NA,9.67E-01
MAD1L1,-1.3302124,NA,2.93E-01
LOC100127955,1.1234901,NA,4.60E-01
LOC105375127,-1.550819,NA,3.76E-01
SNX8,0.444035,NA,7.41E-01
EIF3B,-0.3806024,NA,8.30E-01
CHST12,-0.4044115,NA,7.35E-01
BRAT1,-1.3896262,NA,3.98E-01
IQCE,0.1223753,NA,9.26E-01
TTYH3,0.6859357,NA,6.05E-01
CARD11,0.5054985,NA,6.58E-01
LOC105375131,-0.5017284,NA,7.51E-01
FOXK1,0.2705038,NA,8.18E-01
AP5Z1,0.9862355,NA,4.04E-01
RADIL,0.7432084,NA,5.47E-01
WIPI2,2.8886463,NA,7.26E-02
SLC29A4,0.6440467,NA,7.05E-01
FBXL18,-1.2414445,NA,3.46E-01
RSPH10B,0.7737632,NA,5.84E-01
EIF2AK1,0.0122024,NA,9.93E-01
RAC1,-1.1915233,NA,4.38E-01
GRID2IP,0.7613153,NA,5.88E-01
ZNF316,1.2945561,NA,3.96E-01
RSPH10B2,1.4910367,NA,3.41E-01
LOC100131257,-0.3115764,NA,8.55E-01
COL28A1,-2.2144226,NA,1.72E-01
THSD7A,-1.6109858,NA,2.37E-01
VWDE,0.4934136,NA,7.46E-01
ETV1,-2.628434,NA,7.24E-02
DGKB,-1.9625212,NA,2.23E-01
LOC105375170,0.2020406,NA,9.00E-01
HDAC9,0.6970605,NA,6.93E-01
ITGB8,-1.6919509,NA,2.60E-01
SP4,-1.0269267,NA,5.12E-01
DNAH11,-0.8409496,NA,4.86E-01
PALS2,0.0939245,NA,9.55E-01
LINC03007,0.3639232,NA,8.24E-01
HNRNPA2B1,1.4820349,NA,2.90E-01
LINC02981,0.1692504,NA,9.21E-01
HOXA3,0.3876955,NA,7.91E-01
CREB5,-0.8984462,NA,4.67E-01
CPVL,-1.1477404,NA,5.19E-01
CHN2,0.240109,NA,8.89E-01
PRR15,1.1204146,NA,5.37E-01
SCRN1,1.1370268,NA,5.08E-01
PLEKHA8,-0.4565293,NA,8.25E-01
NOD1,-1.7039546,NA,2.28E-01
GARS1,0.9624978,NA,5.44E-01
CRHR2,0.4200621,NA,7.81E-01
LOC105375219,1.0214498,NA,5.78E-01
LOC105375222,0.4601527,NA,7.30E-01
ADCYAP1R1,1.2334811,NA,3.66E-01
LOC107986780,-0.9827583,NA,4.60E-01
PDE1C,-0.8827105,NA,5.55E-01
FKBP9,-0.9038719,NA,6.19E-01
BBS9,1.0349277,NA,5.95E-01
LOC101928421,-1.3996556,NA,4.28E-01
EEPD1,0.4235785,NA,7.57E-01
AOAH,-0.467505,NA,7.48E-01
GPR141,0.0278401,NA,9.85E-01
VPS41,0.4604133,NA,8.02E-01
CDK13,0.2613813,NA,8.39E-01
LOC112267984,-0.2890864,NA,8.85E-01
GLI3,-0.2573098,NA,8.66E-01
HECW1,-0.257434,NA,8.46E-01
POLR2J4,-0.9547256,NA,4.19E-01
SPDYE1,2.0553617,NA,9.49E-02
LINC00957,-2.1348567,NA,1.37E-01
DBNL,0.3527185,NA,8.20E-01
POLM,1.4840933,NA,4.14E-01
AEBP1,-0.4362713,NA,7.56E-01
POLD2,-0.1648021,NA,9.14E-01
GCK,0.2274839,NA,8.91E-01
CAMK2B,0.9203475,NA,3.97E-01
NUDCD3,-1.1116086,NA,3.12E-01
NPC1L1,0.2779265,NA,8.62E-01
OGDH,-1.9014926,NA,1.53E-01
ZMIZ2,0.6568054,NA,5.69E-01
PPIA,1.5137809,NA,3.04E-01
MYO1G,0.5539561,NA,6.58E-01
CCM2,-2.8806728,NA,2.01E-01
NACAD,-0.8405202,NA,5.91E-01
RAMP3,-2.1202943,NA,2.20E-01
PKD1L1,0.7675422,NA,5.15E-01
VWC2,0.0048357,NA,9.98E-01
IKZF1,0.4735104,NA,6.62E-01
DDC,-0.8786609,NA,6.52E-01
GRB10,-0.0691416,NA,9.48E-01
COBL,-0.9694052,NA,4.42E-01
EGFR,-1.2101805,NA,2.50E-01
VOPP1,-1.763063,NA,2.59E-01
VOPP1-DT,0.146987,NA,9.30E-01
PSPH,0.3875985,NA,8.45E-01
LINC01005,-1.2478325,NA,5.15E-01
ZNF680,-3.2708239,NA,4.66E-02
ZNF273,1.2191912,NA,4.88E-01
ASL,3.7669466,NA,2.71E-02
TPST1,1.2644042,NA,5.17E-01
RABGEF1,-1.4884979,NA,2.12E-01
TMEM248,-0.2725132,NA,8.65E-01
TYW1,-0.7520599,NA,5.95E-01
CALN1,0.0335551,NA,9.77E-01
POM121,0.9969689,NA,4.28E-01
TRIM74,1.1966399,NA,8.50E-02
STAG3L3,-0.5010951,NA,7.22E-01
SPDYE8,0.3805807,NA,7.42E-01
SPDYE11,-0.3575486,NA,7.13E-01
SPDYE10,-0.1688428,NA,8.85E-01
GTF2IP4,-0.8264783,NA,5.24E-01
TBL2,-2.4838697,NA,1.89E-01
MLXIPL,-0.2126701,NA,8.92E-01
BUD23,-0.6114672,NA,6.76E-01
METTL27,-0.1917822,NA,9.17E-01
ELN,0.3327,NA,7.95E-01
LIMK1,0.2199964,NA,8.74E-01
CLIP2,-0.4769603,NA,6.95E-01
GTF2IRD1,-0.094456,NA,9.55E-01
GTF2I,-0.368717,NA,7.67E-01
GTF2IRD2,-0.2233142,NA,8.88E-01
GTF2IRD2B,-1.2555127,NA,2.85E-01
GTF2IP1,1.0465108,NA,4.92E-01
SPDYE14,0.2771684,NA,8.24E-01
STAG3L1,-0.1789779,NA,9.07E-01
POM121C,0.8720488,NA,5.07E-01
HIP1,0.5118417,NA,7.58E-01
RHBDD2,0.5640003,NA,7.36E-01
POR,0.4284591,NA,7.42E-01
SRRM3,-0.78113,NA,6.06E-01
YWHAG,0.6376379,NA,6.85E-01
DTX2,0.2480918,NA,8.67E-01
FDPSP2,-1.1979567,NA,3.97E-01
DTX2P1-UPK3BP1-PMS2P11,-1.2421447,NA,4.07E-01
MAGI2,0.6958697,NA,5.05E-01
PCLO,-0.4569604,NA,7.19E-01
ELAPOR2,0.3672695,NA,7.49E-01
ABCB4,-0.8722396,NA,5.80E-01
ABCB1,0.2693915,NA,8.50E-01
CDK14,0.9488604,NA,5.31E-01
AKAP9,0.1197208,NA,9.19E-01
CYP51A1-AS1,-0.2205639,NA,9.07E-01
CDK6,0.2875592,NA,8.52E-01
LOC112268009,0.0678138,NA,9.67E-01
COL1A2,-1.6375757,NA,4.43E-01
PPP1R9A,0.5992071,NA,5.42E-01
PDK4-AS1,-1.0288178,NA,5.99E-01
CZ1P-ASNS,-1.6342802,NA,3.30E-01
LMTK2,-1.733807,NA,2.76E-01
TECPR1,-0.5250532,NA,6.49E-01
BAIAP2L1,0.0356206,NA,9.84E-01
TMEM130,-1.3120364,NA,3.84E-01
TRRAP,0.5634114,NA,6.18E-01
ARPC1B,2.2281806,NA,1.65E-01
CPSF4,0.5364226,NA,6.79E-01
TMEM225B,-4.4738784,NA,1.67E-03
ZSCAN25,1.0842562,NA,4.44E-01
CYP3A43,0.3403048,NA,8.66E-01
ZKSCAN1,-1.3116226,NA,3.71E-01
TAF6,-0.0256074,NA,9.89E-01
LAMTOR4,0.0976838,NA,9.61E-01
STAG3,-0.1280127,NA,9.33E-01
CASTOR3P,1.0494906,NA,4.02E-01
SPDYE3,0.4209133,NA,7.66E-01
STAG3L5P-PVRIG2P-PILRB,-1.4650393,NA,2.78E-01
PILRA,1.2340466,NA,5.42E-01
PPP1R35-AS1,2.1649203,NA,2.78E-01
NYAP1,0.0029558,NA,9.99E-01
AGFG2,-0.8025781,NA,6.04E-01
LRCH4,-0.1719411,NA,9.08E-01
FBXO24,0.2190461,NA,8.95E-01
PCOLCE,0.8709643,NA,6.05E-01
TFR2,0.1211991,NA,9.34E-01
ACTL6B,-0.5247822,NA,6.99E-01
GIGYF1,-0.4116533,NA,8.07E-01
EPHB4,-0.2327614,NA,8.74E-01
SLC12A9,-0.3949351,NA,8.27E-01
LOC105375431,0.5955165,NA,7.54E-01
MUC17,-1.0313836,NA,4.87E-01
TRIM56,1.4337792,NA,1.69E-01
SERPINE1,-0.3097218,NA,8.36E-01
NAT16,-0.6858134,NA,6.82E-01
CLDN15,-0.2437047,NA,8.91E-01
COL26A1,-0.5813731,NA,7.51E-01
SPDYE6,-1.6287719,NA,2.07E-01
LOC100630923,1.3516328,NA,4.15E-01
ORAI2,0.0877729,NA,9.35E-01
POLR2J3,1.3367025,NA,2.83E-01
UPK3BL2,0.1254129,NA,9.26E-01
SPDYE2,-1.8969642,NA,5.50E-02
POLR2J2,1.1909738,NA,3.32E-01
SPDYE2B,-0.1754838,NA,8.06E-01
RASA4DP,0.0049335,NA,9.97E-01
FBXL13,-1.7511293,NA,3.39E-01
NAPEPLD,0.3182953,NA,8.28E-01
LOC105375434,-0.3385371,NA,8.15E-01
DPY19L2P2,-1.9511208,NA,1.92E-01
RELN,-0.6598511,NA,6.29E-01
